question_id,evaluation_question,expected_focus,expected_qtype,primary_expected_qa_uid,candidate_qa_uid,candidate_doc_uid,candidate_source,candidate_question,candidate_focus,candidate_qtype,candidate_answer_preview,included_as_relevant
eval_0003,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,7_SeniorHealth_QA::0000061::0000061-7,3_GHR_QA::0000875::0000875-1,3_GHR_QA::0000875::0000875,GHR,What is (are) rheumatoid arthritis ?,rheumatoid arthritis,information,"Rheumatoid arthritis is a disease that causes chronic abnormal inflammation, primarily affecting the joints. The most common signs and symptoms are pain, swelling, and stiffness of the joints. Small joints in the hands and feet are involved most often, although larger joints (such as the shoulders, hips, and knees) may become involved later in the disease. Joints are typically affected in a symmetrical pattern; for example, if joints in the hand are affected, both hands tend to be involved. Peop",True
eval_0003,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,7_SeniorHealth_QA::0000061::0000061-7,4_MPlus_Health_Topics_QA::0000782::0000782-1,4_MPlus_Health_Topics_QA::0000782::0000782,MPlusHealthTopics,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,"Rheumatoid arthritis (RA) is a form of arthritis that causes pain, swelling, stiffness and loss of function in your joints. It can affect any joint but is common in the wrist and fingers. More women than men get rheumatoid arthritis. It often starts in middle age and is most common in older people. You might have the disease for only a short time, or symptoms might come and go. The severe form can last a lifetime. Rheumatoid arthritis is different from osteoarthritis, the common arthritis that o",True
eval_0003,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,7_SeniorHealth_QA::0000061::0000061-7,7_SeniorHealth_QA::0000061::0000061-1,7_SeniorHealth_QA::0000061::0000061,NIHSeniorHealth,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,"An Inflammatory, Autoimmune Disease Rheumatoid arthritis is an inflammatory disease that causes pain, swelling, stiffness, and loss of function in the joints. It can cause mild to severe symptoms. Rheumatoid arthritis not only affects the joints, but may also attack tissue in the skin, lungs, eyes, and blood vessels. People with rheumatoid arthritis may feel sick, tired, and sometimes feverish. Rheumatoid arthritis is classified as an autoimmune disease. An autoimmune disease occurs when the imm",True
eval_0003,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,7_SeniorHealth_QA::0000061::0000061-7,7_SeniorHealth_QA::0000061::0000061-15,7_SeniorHealth_QA::0000061::0000061,NIHSeniorHealth,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,"Rest. People with rheumatoid arthritis need a good balance between rest and exercise; they should rest more when the disease is active and exercise more when it is not. Rest helps to reduce active joint inflammation and pain and to fight fatigue. The length of time for rest will vary from person to person, but in general, shorter rest breaks every now and then are more helpful than long times spent in bed. Exercise. Exercise is important for maintaining healthy and strong muscles, preserving joi",True
eval_0003,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,7_SeniorHealth_QA::0000061::0000061-7,7_SeniorHealth_QA::0000061::0000061-7,7_SeniorHealth_QA::0000061::0000061,NIHSeniorHealth,What is (are) Rheumatoid Arthritis ?,Rheumatoid Arthritis,information,"Rheumatoid arthritis is an inflammatory disease that causes pain, swelling, stiffness, and loss of function in the joints. It can cause mild to severe symptoms. People with rheumatoid arthritis may feel sick, tired, and sometimes feverish. Sometimes rheumatoid arthritis attacks tissue in the skin, lungs, eyes, and blood vessels. The disease generally occurs in a symmetrical pattern. If one knee or hand is involved, usually the other one is, too. It can occur at any age, but often begins between ",True
eval_0004,Is Familial isolated hyperparathyroidism inherited ?,Familial isolated hyperparathyroidism,inheritance,2_GARD_QA::0002274::0002274-3,2_GARD_QA::0002274::0002274-3,2_GARD_QA::0002274::0002274,GARD,Is Familial isolated hyperparathyroidism inherited ?,Familial isolated hyperparathyroidism,inheritance,"How is familial isolated hyperparathyroidism inherited? Familial isolated hyperparathyroidism (FIHP) is typically inherited in an autosomal dominant manner. This means that having only one changed (mutated) copy of the responsible gene in each cell is enough to cause signs or symptoms of the condition. When a person with an autosomal dominant condition has children, each child has a 50% (1 in 2) chance to inherit the mutated copy of the gene from the affected parent.",True
eval_0004,Is Familial isolated hyperparathyroidism inherited ?,Familial isolated hyperparathyroidism,inheritance,2_GARD_QA::0002274::0002274-3,3_GHR_QA::0000357::0000357-4,3_GHR_QA::0000357::0000357,GHR,Is familial isolated hyperparathyroidism inherited ?,familial isolated hyperparathyroidism,inheritance,"This condition is typically inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-10,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Medicare Advantage Plans, sometimes known as Medicare Part C, are plans people can join to get their Medicare benefits. Medicare Advantage Plans are available in many areas of the country, and a person who joins one of these plans will get all Medicare-covered benefits. These plans cover hospital costs (Part A), medical costs (Part B), and sometimes prescription drug costs (Part D). Medicare Advantage Plans may also offer extra coverage, such as vision, hearing, dental, and/or health and wellnes",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-11,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,Medicare Part D helps pay for medications that a doctor may prescribe. This coverage may help lower prescription drug costs. Medicare drug plans are run by insurance companies and other private companies approved by Medicare. A person who joins Original Medicare and who wants prescription drug coverage will need to choose and sign up for a Medicare Prescription Drug plan (PDP). A person who joins one of the Medicare Advantage Plans will automatically receive prescription drug coverage through th,True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-12,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Original Medicare is managed by the Federal government and lets people with Medicare go to any doctor, hospital or other health care provider who accepts Medicare. It is a fee-for-service plan, meaning that the person with Medicare usually pays a fee for each service. Medicare pays its share of an approved amount up to certain limits, and the person with Medicare pays the rest. People in Original Medicare must choose and join a Medicare Prescription Drug Plan if they want to get Medicare prescri",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-13,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"People who choose Original Medicare may wish to consider Medigap, a type of Medicare supplement insurance. Medigap policies are sold by private insurance companies to fill gaps in Original Medicare Plan coverage, such as out-of-pocket costs for Medicare co-insurance and deductibles, or for services not covered by Medicare. A Medigap policy only works with Original Medicare. A person who joins a Medicare Advantage Plan generally doesn't need (and can't use) a Medigap policy. For more information ",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-14,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Some people think that Medicare and Medicaid are the same. Actually, they are two different programs. Medicaid is a state-run program that provides hospital and medical coverage for people with low income and little or no resources. Each state has its own rules about who is eligible and what is covered under Medicaid. Some people qualify for both Medicare and Medicaid. If you have questions about Medicaid, you can call your State Medical Assistance (Medicaid) office for more information. Visit h",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-16,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Home health care is short-term skilled care at home after hospitalization or for the treatment of an illness or injury. Home health agencies provide home care services, including skilled nursing care, physical therapy, occupational therapy, speech therapy, medical social work, and care by home health aides. Home health services may also include durable medical equipment, such as wheelchairs, hospital beds, oxygen, and walkers, and medical supplies for use at home.",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-18,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,Here are questions to ask when considering a home health agency. - Is the agency Medicare-approved? - How long has the agency served the community? - Does this agency provide the services my relative or friend needs? - How are emergencies handled? - Is the staff on duty around the clock? - How much do services and supplies cost? - Will agency staff be in regular contact with the doctor? Is the agency Medicare-approved? How long has the agency served the community? Does this agency provide the se,True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-20,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Here are some questions to ask when considering choosing a nursing home. You may want to make surprise visits at different times of the day to verify conditions. - Is the nursing home Medicare- or Medicaid-certified? - Does the nursing home have the level of care needed (such as skilled or custodial care) and is a bed available? - Does the nursing home have special services if needed in a separate unit (such as a ventilator or rehabilitation) and is a bed available? - Are residents clean, well g",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-22,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Medicare does cover skilled nursing care after a 3-day qualifying hospital stay. Skilled care is health care given when the person needs skilled nursing or rehabilitation staff to manage, observe, and evaluate his or her care. Care that can be given by non-professional staff isn't considered skilled care. Medicare does not cover custodial care or adult day care. For more information on Medicare coverage of skilled nursing facility care, visit http://www.medicare.gov to look at or print a copy of",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-24,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Hospice care is a special way of caring for people who are terminally ill (dying) and helping their families cope. Hospice care includes treatment to relieve symptoms and keep the individual comfortable. The goal is to provide end-of-life care, not to cure the illness. Medical care, nursing care, social services, drugs for the terminal and related conditions, durable medical equipment, and other types of items and services can be a part of hospice care.",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-28,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"The general number for Medicare is 1-800-Medicare (1-800-633-4227). TTY users should call 1-877-486-2048. You can also visit http://www.medicare.gov. The ""Medicare & You"" handbook is mailed out to all Medicare enrollees in the fall. It includes detailed information about all aspects of Medicare. On the following pages you will find phone numbers, web addresses, and names of publications that provide detailed information about various aspects of Medicare. If a person needs to sign up for Medicare",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-7,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Medicare is a federal health insurance program for people - age 65 and older - under age 65 with certain disabilities who have been receiving Social Security disability benefits for a certain amount of time (24 months in most cases) - of any age who have End-Stage Renal Disease (ESRD), which is permanent kidney failure requiring dialysis or a transplant. age 65 and older under age 65 with certain disabilities who have been receiving Social Security disability benefits for a certain amount of tim",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Medicare Part A is hospital insurance that helps cover inpatient care in hospitals. Part A also helps cover skilled nursing facility care for a limited period of time, hospice care, and home health care, if you meet certain conditions. Most people don't have to pay a monthly premium for Medicare Part A when they turn age 65 because they or a spouse paid Medicare taxes while they were working. If a person is hospitalized, Medicare helps pay for the following services. - Care - general nursing - R",True
eval_0011,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,7_SeniorHealth_QA::0000045::0000045-8,7_SeniorHealth_QA::0000045::0000045-9,7_SeniorHealth_QA::0000045::0000045,NIHSeniorHealth,What is (are) Medicare and Continuing Care ?,Medicare and Continuing Care,information,"Medicare Part B is medical insurance. It helps cover medical services such as doctor's services, outpatient care and other medical services that Part A doesn't cover. Part B also covers some preventive services, such as flu shots and diabetes screening, to help you maintain your health and to keep certain illnesses from getting worse. Enrollment in Part B is optional, and most people who choose it must pay a monthly fee, or premium. There may be a late enrollment penalty for Part B if the person",True
eval_0016,What to do for Perineal Injury in Males ?,Perineal Injury in Males,considerations,5_NIDDK_QA::0000206::0000206-11,5_NIDDK_QA::0000206::0000206-10,5_NIDDK_QA::0000206::0000206,NIDDK,What to do for Perineal Injury in Males ?,Perineal Injury in Males,considerations,"To prevent constipation, a diet with 20 to 35 grams of fiber each day helps the body form soft, bulky stool that is easier to pass. High-fiber foods include beans, whole grains and bran cereals, fresh fruits, and vegetables such as asparagus, brussels sprouts, cabbage, and carrots. For people prone to constipation, limiting foods that have little or no fiber, such as ice cream, cheese, meat, and processed foods, is also important. A health care provider can give information about how changes in ",True
eval_0016,What to do for Perineal Injury in Males ?,Perineal Injury in Males,considerations,5_NIDDK_QA::0000206::0000206-11,5_NIDDK_QA::0000206::0000206-11,5_NIDDK_QA::0000206::0000206,NIDDK,What to do for Perineal Injury in Males ?,Perineal Injury in Males,considerations,"- Perineal injury is an injury to the perineum, the part of the body between the anus and the genitals, or sex organs. In males, the perineum is the area between the anus and the scrotum, the external pouch of skin that holds the testicles. - Injury to the blood vessels, nerves, and muscles in the perineum can lead to complications such as - bladder control problems - sexual problems - Common causes of acute perineal injury in males include - perineal surgery - straddle injuries - sexual abuse -",True
eval_0019,What is (are) Pallister-Killian mosaic syndrome ?,Pallister-Killian mosaic syndrome,information,2_GARD_QA::0004688::0004688-1,2_GARD_QA::0004688::0004688-1,2_GARD_QA::0004688::0004688,GARD,What is (are) Pallister-Killian mosaic syndrome ?,Pallister-Killian mosaic syndrome,information,"Pallister-Killian mosaic syndrome is a disorder that is characterized by extremely weak muscle tone (hypotonia) in infancy and early childhood, intellectual disability, distinctive facial features, sparse hair, areas of unusual skin coloring (pigmentation), and other birth defects. The signs and symptoms of the Pallister-Killian mosaic syndrome can vary, although most documented cases of people with the syndrome have severe to profound intellectual disability and other serious health problems. P",True
