run_name,retriever_model_key,retrieval_depth,question_id,question,expected_qa_uid,relevant_qa_uids,expected_doc_uid,relevant_doc_uids,expected_focus,expected_qtype,qa_hit_at_1,qa_hit_at_3,qa_hit_at_10,qa_mrr,qa_ndcg_at_10,strict_qa_hit_at_1,strict_qa_hit_at_3,strict_qa_hit_at_10,strict_qa_mrr,doc_hit_at_1,doc_hit_at_3,doc_hit_at_10,doc_mrr,focus_hit_at_1,focus_hit_at_3,focus_hit_at_10,focus_mrr,num_relevant_qa_uids,num_retrieved
rag_hybrid_k10,hybrid,10,eval_0001,How to prevent Diabetic Kidney Disease ?,5_NIDDK_QA::0000033::0000033-9,5_NIDDK_QA::0000033::0000033-9,5_NIDDK_QA::0000033::0000033,5_NIDDK_QA::0000033::0000033,Diabetic Kidney Disease,prevention,1,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,10
rag_hybrid_k10,hybrid,10,eval_0002,What are the complications of Kidney Dysplasia ?,5_NIDDK_QA::0000154::0000154-7,5_NIDDK_QA::0000154::0000154-7,5_NIDDK_QA::0000154::0000154,5_NIDDK_QA::0000154::0000154,Kidney Dysplasia,complications,1,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,10
rag_hybrid_k10,hybrid,10,eval_0003,What is (are) Rheumatoid Arthritis ?,7_SeniorHealth_QA::0000061::0000061-7,3_GHR_QA::0000875::0000875-1|4_MPlus_Health_Topics_QA::0000782::0000782-1|7_SeniorHealth_QA::0000061::0000061-1|7_SeniorHealth_QA::0000061::0000061-15|7_SeniorHealth_QA::0000061::0000061-7,7_SeniorHealth_QA::0000061::0000061,3_GHR_QA::0000875::0000875|4_MPlus_Health_Topics_QA::0000782::0000782|7_SeniorHealth_QA::0000061::0000061,Rheumatoid Arthritis,information,1,1,1,1.0,0.8539316501572937,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,5,10
rag_hybrid_k10,hybrid,10,eval_0004,Is Familial isolated hyperparathyroidism inherited ?,2_GARD_QA::0002274::0002274-3,2_GARD_QA::0002274::0002274-3|3_GHR_QA::0000357::0000357-4,2_GARD_QA::0002274::0002274,2_GARD_QA::0002274::0002274|3_GHR_QA::0000357::0000357,Familial isolated hyperparathyroidism,inheritance,1,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,2,10
rag_hybrid_k10,hybrid,10,eval_0005,What are the genetic changes related to giant congenital melanocytic nevus ?,3_GHR_QA::0000406::0000406-3,3_GHR_QA::0000406::0000406-3,3_GHR_QA::0000406::0000406,3_GHR_QA::0000406::0000406,giant congenital melanocytic nevus,genetic changes,1,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,10
rag_hybrid_k10,hybrid,10,eval_0006,Is diastrophic dysplasia inherited ?,3_GHR_QA::0000284::0000284-4,3_GHR_QA::0000284::0000284-4,3_GHR_QA::0000284::0000284,3_GHR_QA::0000284::0000284,diastrophic dysplasia,inheritance,1,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,10
rag_hybrid_k10,hybrid,10,eval_0007,Is glucose phosphate isomerase deficiency inherited ?,3_GHR_QA::0000412::0000412-4,3_GHR_QA::0000412::0000412-4,3_GHR_QA::0000412::0000412,3_GHR_QA::0000412::0000412,glucose phosphate isomerase deficiency,inheritance,1,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,10
rag_hybrid_k10,hybrid,10,eval_0008,What causes Chromosome 4q deletion ?,2_GARD_QA::0001282::0001282-3,2_GARD_QA::0001282::0001282-3,2_GARD_QA::0001282::0001282,2_GARD_QA::0001282::0001282,Chromosome 4q deletion,causes,1,1,1,1.0,1.0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,10
rag_hybrid_k10,hybrid,10,eval_0009,What is (are) X-linked lymphoproliferative disease ?,3_GHR_QA::0001059::0001059-1,3_GHR_QA::0001059::0001059-1,3_GHR_QA::0001059::0001059,3_GHR_QA::0001059::0001059,X-linked lymphoproliferative disease,information,0,0,1,0.25,0.43067655807339306,0,0,1,0.25,1,1,1,1.0,1,1,1,1.0,1,10
rag_hybrid_k10,hybrid,10,eval_0010,How to prevent Lung Cancer ?,1_CancerGov_QA::0000032_3::0000032_3-2,1_CancerGov_QA::0000032_3::0000032_3-2,1_CancerGov_QA::0000032_3::0000032_3,1_CancerGov_QA::0000032_3::0000032_3,Lung Cancer,prevention,0,1,1,0.5,0.6309297535714575,0,1,1,0.5,0,1,1,0.5,0,1,1,0.5,1,10
